"pseudobulk_id","sample","stage","macrophage_state","n_cells"
"GSM5599220_Norm1___Mono-CDKN1C","GSM5599220_Norm1","Non-malignant","Mono-CDKN1C",25
"GSM5599221_Norm2___Mac-FOLR2-LYVE1-resident","GSM5599221_Norm2","Non-malignant","Mac-FOLR2-LYVE1-resident",35
"GSM5599221_Norm2___Mono-FCN1-S100A8-S100A9","GSM5599221_Norm2","Non-malignant","Mono-FCN1-S100A8-S100A9",127
"GSM5599221_Norm2___Myeloid-CLEC10A-APC","GSM5599221_Norm2","Non-malignant","Myeloid-CLEC10A-APC",24
"GSM5599222_Norm3___Mac-FOLR2-LYVE1-resident","GSM5599222_Norm3","Non-malignant","Mac-FOLR2-LYVE1-resident",55
"GSM5599222_Norm3___Mac-OLFML3-CX3CR1-resident","GSM5599222_Norm3","Non-malignant","Mac-OLFML3-CX3CR1-resident",37
"GSM5599222_Norm3___Mono-FCN1-S100A8-S100A9","GSM5599222_Norm3","Non-malignant","Mono-FCN1-S100A8-S100A9",71
"GSM5599222_Norm3___Myeloid-CLEC10A-APC","GSM5599222_Norm3","Non-malignant","Myeloid-CLEC10A-APC",57
"GSM5599223_Norm4___Mono-CDKN1C","GSM5599223_Norm4","Non-malignant","Mono-CDKN1C",23
"GSM5599223_Norm4___Mono-FCN1-S100A8-S100A9","GSM5599223_Norm4","Non-malignant","Mono-FCN1-S100A8-S100A9",51
"GSM5599224_Norm5___C6-SLC2A1-like","GSM5599224_Norm5","Non-malignant","C6-SLC2A1-like",65
"GSM5599224_Norm5___Mac-FOLR2-LYVE1-resident","GSM5599224_Norm5","Non-malignant","Mac-FOLR2-LYVE1-resident",32
"GSM5599224_Norm5___Mono-CDKN1C","GSM5599224_Norm5","Non-malignant","Mono-CDKN1C",62
"GSM5599224_Norm5___Mono-FCN1-S100A8-S100A9","GSM5599224_Norm5","Non-malignant","Mono-FCN1-S100A8-S100A9",158
"GSM5599224_Norm5___Myeloid-CLEC10A-APC","GSM5599224_Norm5","Non-malignant","Myeloid-CLEC10A-APC",77
"GSM5599225_Cancer1___C6-SLC2A1-like","GSM5599225_Cancer1","Advanced","C6-SLC2A1-like",188
"GSM5599225_Cancer1___C7-APOBEC3A-like","GSM5599225_Cancer1","Advanced","C7-APOBEC3A-like",55
"GSM5599225_Cancer1___Mac-Cycling","GSM5599225_Cancer1","Advanced","Mac-Cycling",200
"GSM5599225_Cancer1___Mac-FOLR2-LYVE1-resident","GSM5599225_Cancer1","Advanced","Mac-FOLR2-LYVE1-resident",471
"GSM5599225_Cancer1___Mac-NUPR1-IGF2-stress","GSM5599225_Cancer1","Advanced","Mac-NUPR1-IGF2-stress",107
"GSM5599225_Cancer1___Mac-OLFML3-CX3CR1-resident","GSM5599225_Cancer1","Advanced","Mac-OLFML3-CX3CR1-resident",386
"GSM5599225_Cancer1___Mac-TNF-CCL4-inflammatory","GSM5599225_Cancer1","Advanced","Mac-TNF-CCL4-inflammatory",177
"GSM5599225_Cancer1___Myeloid-CLEC10A-APC","GSM5599225_Cancer1","Advanced","Myeloid-CLEC10A-APC",65
"GSM5599226_Cancer2___C6-SLC2A1-like","GSM5599226_Cancer2","Advanced","C6-SLC2A1-like",78
"GSM5599226_Cancer2___Mac-Cycling","GSM5599226_Cancer2","Advanced","Mac-Cycling",187
"GSM5599226_Cancer2___Mac-FOLR2-LYVE1-resident","GSM5599226_Cancer2","Advanced","Mac-FOLR2-LYVE1-resident",142
"GSM5599226_Cancer2___Mac-NUPR1-IGF2-stress","GSM5599226_Cancer2","Advanced","Mac-NUPR1-IGF2-stress",71
"GSM5599226_Cancer2___Mac-OLFML3-CX3CR1-resident","GSM5599226_Cancer2","Advanced","Mac-OLFML3-CX3CR1-resident",60
"GSM5599226_Cancer2___Mac-TNF-CCL4-inflammatory","GSM5599226_Cancer2","Advanced","Mac-TNF-CCL4-inflammatory",115
"GSM5599226_Cancer2___Mono-FCN1-S100A8-S100A9","GSM5599226_Cancer2","Advanced","Mono-FCN1-S100A8-S100A9",38
"GSM5599226_Cancer2___Myeloid-CLEC10A-APC","GSM5599226_Cancer2","Advanced","Myeloid-CLEC10A-APC",54
"GSM5599227_Cancer3___C6-SLC2A1-like","GSM5599227_Cancer3","Early","C6-SLC2A1-like",21
"GSM5599227_Cancer3___C7-APOBEC3A-like","GSM5599227_Cancer3","Early","C7-APOBEC3A-like",269
"GSM5599227_Cancer3___Mac-Cycling","GSM5599227_Cancer3","Early","Mac-Cycling",36
"GSM5599227_Cancer3___Mac-FOLR2-LYVE1-resident","GSM5599227_Cancer3","Early","Mac-FOLR2-LYVE1-resident",28
"GSM5599227_Cancer3___Mac-NUPR1-IGF2-stress","GSM5599227_Cancer3","Early","Mac-NUPR1-IGF2-stress",29
"GSM5599227_Cancer3___Mac-TNF-CCL4-inflammatory","GSM5599227_Cancer3","Early","Mac-TNF-CCL4-inflammatory",23
"GSM5599227_Cancer3___Mono-FCN1-S100A8-S100A9","GSM5599227_Cancer3","Early","Mono-FCN1-S100A8-S100A9",24
"GSM5599228_Cancer4___C6-SLC2A1-like","GSM5599228_Cancer4","Early","C6-SLC2A1-like",29
"GSM5599228_Cancer4___Mac-Cycling","GSM5599228_Cancer4","Early","Mac-Cycling",81
"GSM5599228_Cancer4___Mac-FOLR2-LYVE1-resident","GSM5599228_Cancer4","Early","Mac-FOLR2-LYVE1-resident",75
"GSM5599228_Cancer4___Mac-NUPR1-IGF2-stress","GSM5599228_Cancer4","Early","Mac-NUPR1-IGF2-stress",36
"GSM5599228_Cancer4___Mac-OLFML3-CX3CR1-resident","GSM5599228_Cancer4","Early","Mac-OLFML3-CX3CR1-resident",42
