"sample","stage","macrophage_state","n_cells"
"GSM5599220_Norm1","Non-malignant","C7-APOBEC3A-like",1
"GSM5599220_Norm1","Non-malignant","Mac-FOLR2-LYVE1-resident",5
"GSM5599220_Norm1","Non-malignant","Mac-NUPR1-IGF2-stress",4
"GSM5599220_Norm1","Non-malignant","Mono-CDKN1C",25
"GSM5599220_Norm1","Non-malignant","Mono-FCN1-S100A8-S100A9",2
"GSM5599220_Norm1","Non-malignant","Myeloid-CLEC10A-APC",1
"GSM5599221_Norm2","Non-malignant","Mac-Cycling",6
"GSM5599221_Norm2","Non-malignant","Mac-FOLR2-LYVE1-resident",35
"GSM5599221_Norm2","Non-malignant","Mac-NUPR1-IGF2-stress",4
"GSM5599221_Norm2","Non-malignant","Mac-OLFML3-CX3CR1-resident",7
"GSM5599221_Norm2","Non-malignant","Mac-TNF-CCL4-inflammatory",1
"GSM5599221_Norm2","Non-malignant","Mono-CDKN1C",17
"GSM5599221_Norm2","Non-malignant","Mono-FCN1-S100A8-S100A9",127
"GSM5599221_Norm2","Non-malignant","Myeloid-CLEC10A-APC",24
"GSM5599222_Norm3","Non-malignant","C6-SLC2A1-like",2
"GSM5599222_Norm3","Non-malignant","C7-APOBEC3A-like",4
"GSM5599222_Norm3","Non-malignant","Mac-Cycling",12
"GSM5599222_Norm3","Non-malignant","Mac-FOLR2-LYVE1-resident",55
"GSM5599222_Norm3","Non-malignant","Mac-NUPR1-IGF2-stress",5
"GSM5599222_Norm3","Non-malignant","Mac-OLFML3-CX3CR1-resident",37
"GSM5599222_Norm3","Non-malignant","Mac-TNF-CCL4-inflammatory",13
"GSM5599222_Norm3","Non-malignant","Mono-CDKN1C",1
"GSM5599222_Norm3","Non-malignant","Mono-FCN1-S100A8-S100A9",71
"GSM5599222_Norm3","Non-malignant","Myeloid-CLEC10A-APC",57
"GSM5599223_Norm4","Non-malignant","Mac-Cycling",7
"GSM5599223_Norm4","Non-malignant","Mac-FOLR2-LYVE1-resident",18
"GSM5599223_Norm4","Non-malignant","Mac-NUPR1-IGF2-stress",7
"GSM5599223_Norm4","Non-malignant","Mac-OLFML3-CX3CR1-resident",12
"GSM5599223_Norm4","Non-malignant","Mac-TNF-CCL4-inflammatory",2
"GSM5599223_Norm4","Non-malignant","Mono-CDKN1C",23
"GSM5599223_Norm4","Non-malignant","Mono-FCN1-S100A8-S100A9",51
"GSM5599223_Norm4","Non-malignant","Myeloid-CLEC10A-APC",5
"GSM5599224_Norm5","Non-malignant","C6-SLC2A1-like",65
"GSM5599224_Norm5","Non-malignant","C7-APOBEC3A-like",15
"GSM5599224_Norm5","Non-malignant","Mac-Cycling",14
"GSM5599224_Norm5","Non-malignant","Mac-FOLR2-LYVE1-resident",32
"GSM5599224_Norm5","Non-malignant","Mac-NUPR1-IGF2-stress",8
"GSM5599224_Norm5","Non-malignant","Mac-OLFML3-CX3CR1-resident",4
"GSM5599224_Norm5","Non-malignant","Mac-TNF-CCL4-inflammatory",10
"GSM5599224_Norm5","Non-malignant","Mono-CDKN1C",62
"GSM5599224_Norm5","Non-malignant","Mono-FCN1-S100A8-S100A9",158
"GSM5599224_Norm5","Non-malignant","Myeloid-CLEC10A-APC",77
"GSM5599225_Cancer1","Advanced","C6-SLC2A1-like",188
"GSM5599225_Cancer1","Advanced","C7-APOBEC3A-like",55
"GSM5599225_Cancer1","Advanced","Mac-Cycling",200
"GSM5599225_Cancer1","Advanced","Mac-FOLR2-LYVE1-resident",471
"GSM5599225_Cancer1","Advanced","Mac-NUPR1-IGF2-stress",107
"GSM5599225_Cancer1","Advanced","Mac-OLFML3-CX3CR1-resident",386
"GSM5599225_Cancer1","Advanced","Mac-TNF-CCL4-inflammatory",177
"GSM5599225_Cancer1","Advanced","Mono-CDKN1C",2
"GSM5599225_Cancer1","Advanced","Mono-FCN1-S100A8-S100A9",16
"GSM5599225_Cancer1","Advanced","Myeloid-CLEC10A-APC",65
"GSM5599226_Cancer2","Advanced","C6-SLC2A1-like",78
"GSM5599226_Cancer2","Advanced","C7-APOBEC3A-like",19
"GSM5599226_Cancer2","Advanced","Mac-Cycling",187
"GSM5599226_Cancer2","Advanced","Mac-FOLR2-LYVE1-resident",142
"GSM5599226_Cancer2","Advanced","Mac-NUPR1-IGF2-stress",71
"GSM5599226_Cancer2","Advanced","Mac-OLFML3-CX3CR1-resident",60
"GSM5599226_Cancer2","Advanced","Mac-TNF-CCL4-inflammatory",115
"GSM5599226_Cancer2","Advanced","Mono-CDKN1C",15
"GSM5599226_Cancer2","Advanced","Mono-FCN1-S100A8-S100A9",38
"GSM5599226_Cancer2","Advanced","Myeloid-CLEC10A-APC",54
"GSM5599227_Cancer3","Early","C6-SLC2A1-like",21
"GSM5599227_Cancer3","Early","C7-APOBEC3A-like",269
"GSM5599227_Cancer3","Early","Mac-Cycling",36
"GSM5599227_Cancer3","Early","Mac-FOLR2-LYVE1-resident",28
"GSM5599227_Cancer3","Early","Mac-NUPR1-IGF2-stress",29
"GSM5599227_Cancer3","Early","Mac-OLFML3-CX3CR1-resident",6
"GSM5599227_Cancer3","Early","Mac-TNF-CCL4-inflammatory",23
